[2026-04-16 11:09:43] Aegilops muticum | - | 跳过 | 无TaxID
[2026-04-16 11:09:46] Aegilops sharonensis | 58530 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops sharonensis | 58530 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops umbellulata | 4491 | 跳过 | 已存在基因组
[2026-04-16 11:09:46] Aegilops umbellulata | 4491 | 跳过 | 已存在基因组
[2026-04-16 11:09:49] Aeonium arboreum | 35945 | 跳过 | 已存在基因组
[2026-04-16 11:09:49] Aeschynomene evenia | 561484 | 跳过 | 已存在基因组
[2026-04-16 11:09:49] Aeschynomene evenia | 561484 | 跳过 | 已存在基因组
[2026-04-16 11:09:49] Aesculus wilsonii | - | 跳过 | 无TaxID
[2026-04-16 11:09:54] Agapanthus africanus | 51501 | 跳过 | 已存在基因组
[2026-04-16 11:09:54] Agastache rugosa | 39271 | 跳过 | 已存在基因组
[2026-04-16 11:09:57] Akebia trifoliata | 155132 | 跳过 | 已存在基因组
[2026-04-16 11:09:57] Akebia trifoliata | 155132 | 跳过 | 已存在基因组
[2026-04-16 11:09:57] Albizia julibrissin | 3813 | 跳过 | 已存在基因组
[2026-04-16 11:10:03] Allium cepa | 4679 | 跳过 | 已存在基因组
[2026-04-16 11:10:03] Allium cepa | 4679 | 跳过 | 已存在基因组
[2026-04-16 11:10:03] Allium fistulosum | 35875 | 跳过 | 已存在基因组
[2026-04-16 11:10:03] Allium fistulosum | 35875 | 跳过 | 已存在基因组
[2026-04-16 11:10:03] Allium sativum | 4682 | 跳过 | 已存在基因组
[2026-04-16 11:10:03] Allium sativum | 4682 | 跳过 | 已存在基因组
[2026-04-16 11:10:03] Alloteropsis semialata | 435756 | 跳过 | 已存在基因组
[2026-04-16 11:10:03] Alnus glutinosa | 3517 | 跳过 | 已存在基因组
