[2026-04-16 18:00:09] Aquilaria yunnanensis | 452568 | 跳过 | 已存在基因组
[2026-04-16 18:00:09] Apostasia ramifera | 1920719 | 失败 | NCBI未找到
[2026-04-16 18:00:11] Barringtonia racemosa | 107821 | 失败 | NCBI未找到
[2026-04-16 18:00:12] Apostasia shenzhenica | 1088818 | 失败 | NCBI未找到
[2026-04-16 18:00:12] Apple  Fuji | - | 跳过 | 无TaxID
[2026-04-16 18:00:12] Apple  Fuji | - | 跳过 | 无TaxID
[2026-04-16 18:00:12] Apple  M9 | - | 跳过 | 无TaxID
[2026-04-16 18:00:12] Apple  M9 | - | 跳过 | 无TaxID
[2026-04-16 18:00:12] Apple MM106 | - | 跳过 | 无TaxID
[2026-04-16 18:00:12] Apple MM106 | - | 跳过 | 无TaxID
[2026-04-16 18:00:12] Aquilaria agallocha | - | 跳过 | 无TaxID
[2026-04-16 18:00:13] Aquilegia coerulea | 218851 | 失败 | NCBI未找到
[2026-04-16 18:00:15] Aquilaria sinensis | 210372 | 失败 | NCBI未找到
[2026-04-16 18:00:16] Barthea barthei | 1898640 | 失败 | NCBI未找到
[2026-04-16 18:00:16] Aquilegia oxysepala | 432649 | 失败 | NCBI未找到
[2026-04-16 18:00:16] Arabidopsis arenosa | 38785 | 跳过 | 已存在基因组
[2026-04-16 18:00:16] Arabidopsis halleri | 81970 | 跳过 | 已存在基因组
[2026-04-16 18:00:17] Aquilaria sinensis | 210372 | 失败 | NCBI未找到
[2026-04-16 18:00:17] Aquilaria yunnanensis | 452568 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Arabidopsis lyrata | 59689 | 失败 | NCBI未找到
[2026-04-16 18:00:19] Arabidopsis suecica | 45249 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Arabis alpina | 50452 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Arachis duranensis | 130453 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Arachis hypogaea | 3818 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Arachis ipaensis | 130454 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Arachis monticola | 227691 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Arachis stenosperma | 217475 | 跳过 | 已存在基因组
[2026-04-16 18:00:19] Aralia elata | 82095 | 跳过 | 已存在基因组
[2026-04-16 18:00:20] Aquilegia coerulea | 218851 | 失败 | NCBI未找到
[2026-04-16 18:00:22] Arbutus unedo | 84005 | 失败 | NCBI未找到
[2026-04-16 18:00:22] Arctium lappa | 4217 | 跳过 | 已存在基因组
[2026-04-16 18:00:22] Arctium minus | 143172 | 跳过 | 已存在基因组
[2026-04-16 18:00:23] Aquilegia oxysepala | 432649 | 失败 | NCBI未找到
[2026-04-16 18:00:23] Arabidopsis arenosa | 38785 | 跳过 | 已存在基因组
[2026-04-16 18:00:23] Arabidopsis arenosa | 38785 | 跳过 | 已存在基因组
[2026-04-16 18:00:23] Arabidopsis arenosa | 38785 | 跳过 | 已存在基因组
[2026-04-16 18:00:23] Arabidopsis halleri | 81970 | 跳过 | 已存在基因组
[2026-04-16 18:00:23] Arabidopsis halleri | 81970 | 跳过 | 已存在基因组
[2026-04-16 18:00:23] Arabidopsis halleri | 81970 | 跳过 | 已存在基因组
[2026-04-16 18:00:23] Arabidopsis halleri | 81970 | 跳过 | 已存在基因组
[2026-04-16 18:00:24] Arctostaphylos glauca | 89197 | 失败 | NCBI未找到
[2026-04-16 18:00:24] Areca catechu | 184783 | 跳过 | 已存在基因组
[2026-04-16 18:00:24] Argania spinosa | - | 跳过 | 无TaxID
[2026-04-16 18:00:26] Arabidopsis lyrata | 59689 | 失败 | NCBI未找到
[2026-04-16 18:00:27] Aristolochia californica | 171875 | 失败 | NCBI未找到
[2026-04-16 18:00:27] Aristolochia contorta | 266420 | 跳过 | 已存在基因组
[2026-04-16 18:00:27] Aristolochia fimbriata | 158543 | 跳过 | 已存在基因组
[2026-04-16 18:00:28] Arabidopsis lyrata | 59689 | 失败 | NCBI未找到
[2026-04-16 18:00:30] Aristotelia chilensis | 138855 | 失败 | NCBI未找到
[2026-04-16 18:00:30] Armoracia rusticana | 3704 | 跳过 | 已存在基因组
[2026-04-16 18:00:31] Arabidopsis lyrata | 59689 | 失败 | NCBI未找到
[2026-04-16 18:00:32] Artemisia annua | 35608 | 失败 | NCBI未找到
[2026-04-16 18:00:32] Artemisia argyi | 259893 | 跳过 | 已存在基因组
[2026-04-16 18:00:34] Arabidopsis lyrata | 59689 | 失败 | NCBI未找到
[2026-04-16 18:00:35] Artemisia selengensis | 637485 | 失败 | NCBI未找到
[2026-04-16 18:00:35] Artemisia tridentata | 55611 | 跳过 | 已存在基因组
[2026-04-16 18:00:35] Artocarpu altilis | - | 跳过 | 无TaxID
[2026-04-16 18:00:35] Artocarpu heterophyllus | - | 跳过 | 无TaxID
[2026-04-16 18:00:36] Arabidopsis lyrata | 59689 | 失败 | NCBI未找到
[2026-04-16 18:00:38] Artocarpus camansi | 709039 | 失败 | NCBI未找到
[2026-04-16 18:00:38] Artocarpus heterophyllus | 3489 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis lyrata | 59689 | 失败 | NCBI未找到
[2026-04-16 18:00:39] Arabidopsis suecica | 45249 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis suecica | 45249 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabidopsis thaliana | 3702 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabis alpina | 50452 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabis alpina | 50452 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arabis alpina | 50452 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arachis duranensis | 130453 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arachis duranensis | 130453 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arachis duranensis | 130453 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arachis hypogaea | 3818 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arachis hypogaea | 3818 | 跳过 | 已存在基因组
[2026-04-16 18:00:39] Arachis hypogaea | 3818 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Arachis hypogaea | 3818 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Arachis hypogaea | 3818 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Arachis ipaensis | 130454 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Arachis ipaensis | 130454 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Arachis ipaensis | 130454 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Arachis monticola | 227691 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Arachis stenosperma | 217475 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Aralia elata | 82095 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Aralia elata | 82095 | 跳过 | 已存在基因组
[2026-04-16 18:00:40] Aralia elata | 82095 | 跳过 | 已存在基因组
[2026-04-16 18:00:41] Artocarpus hirsutus | 291940 | 失败 | NCBI未找到
[2026-04-16 18:00:42] Arbutus unedo | 84005 | 失败 | NCBI未找到
[2026-04-16 18:00:42] Arctium lappa | 4217 | 跳过 | 已存在基因组
[2026-04-16 18:00:42] Arctium lappa | 4217 | 跳过 | 已存在基因组
[2026-04-16 18:00:42] Arctium minus | 143172 | 跳过 | 已存在基因组
[2026-04-16 18:00:43] Artocarpus nanchuanensis | 1745975 | 失败 | NCBI未找到
[2026-04-16 18:00:43] Asclepias syriaca | - | 跳过 | 无TaxID
[2026-04-16 18:00:43] Asclepias syriaca | 48545 | 跳过 | 已存在基因组
[2026-04-16 18:00:45] Arctostaphylos glauca | 89197 | 失败 | NCBI未找到
[2026-04-16 18:00:45] Areca catechu | 184783 | 跳过 | 已存在基因组
[2026-04-16 18:00:45] Areca catechu | 184783 | 跳过 | 已存在基因组
[2026-04-16 18:00:45] Argania spinosa | - | 跳过 | 无TaxID
[2026-04-16 18:00:46] Asparagus kiusianus | 272855 | 失败 | NCBI未找到
[2026-04-16 18:00:46] Asparagus officinalis | 4686 | 跳过 | 已存在基因组
[2026-04-16 18:00:46] Asparagus setaceus | 272863 | 跳过 | 已存在基因组
[2026-04-16 18:00:48] Aristolochia californica | 171875 | 失败 | NCBI未找到
[2026-04-16 18:00:49] Asterochloris glomerata | 174040 | 失败 | NCBI未找到
[2026-04-16 18:00:49] Astragalus membranaceus | 649199 | 跳过 | 已存在基因组
[2026-04-16 18:00:50] Aristolochia californica | 171875 | 失败 | NCBI未找到
[2026-04-16 18:00:50] Aristolochia contorta | 266420 | 跳过 | 已存在基因组
[2026-04-16 18:00:50] Aristolochia fimbriata | 158543 | 跳过 | 已存在基因组
[2026-04-16 18:00:52] Astragalus sinicus | 47065 | 失败 | NCBI未找到
[2026-04-16 18:00:53] Aristotelia chilensis | 138855 | 失败 | NCBI未找到
[2026-04-16 18:00:53] Armoracia rusticana | 3704 | 跳过 | 已存在基因组
[2026-04-16 18:00:55] Astrephomene gubernaculifera | 47775 | 失败 | NCBI未找到
[2026-04-16 18:00:55] Atalantia buxifolia | 76974 | 跳过 | 已存在基因组
[2026-04-16 18:00:56] Artemisia annua | 35608 | 失败 | NCBI未找到
[2026-04-16 18:00:56] Artemisia argyi | 259893 | 跳过 | 已存在基因组
[2026-04-16 18:00:56] Artemisia argyi | 259893 | 跳过 | 已存在基因组
[2026-04-16 18:00:56] Artemisia argyi | 259893 | 跳过 | 已存在基因组
[2026-04-16 18:00:56] Artemisia argyi | 259893 | 跳过 | 已存在基因组
[2026-04-16 18:00:56] Artemisia argyi | 259893 | 跳过 | 已存在基因组
[2026-04-16 18:00:58] Atractylodes lancea | 41486 | 失败 | NCBI未找到
[2026-04-16 18:00:59] Artemisia selengensis | 637485 | 失败 | NCBI未找到
[2026-04-16 18:00:59] Artemisia tridentata | 55611 | 跳过 | 已存在基因组
[2026-04-16 18:00:59] Artemisia tridentata | 55611 | 跳过 | 已存在基因组
[2026-04-16 18:00:59] Artocarpu altilis | - | 跳过 | 无TaxID
[2026-04-16 18:00:59] Artocarpu heterophyllus | - | 跳过 | 无TaxID
[2026-04-16 18:01:01] Atriplex hortensis | 34272 | 失败 | NCBI未找到
[2026-04-16 18:01:01] Atropa belladonna | 33113 | 跳过 | 已存在基因组
[2026-04-16 18:01:01] Artocarpus camansi | 709039 | 失败 | NCBI未找到
[2026-04-16 18:01:01] Artocarpus heterophyllus | 3489 | 跳过 | 已存在基因组
[2026-04-16 18:01:03] Aubrieta canescens | 1076948 | 失败 | NCBI未找到
[2026-04-16 18:01:04] Artocarpus hirsutus | 291940 | 失败 | NCBI未找到
[2026-04-16 18:01:06] Aubrieta macrostyla | 3020387 | 失败 | NCBI未找到
[2026-04-16 18:01:09] Aurinia saxatilis | 169069 | 失败 | NCBI未找到
[2026-04-16 18:01:09] Australimusa bananas | - | 跳过 | 无TaxID
[2026-04-16 18:01:09] Avena atlantica | 366594 | 跳过 | 已存在基因组
[2026-04-16 18:01:09] Avena eriantha | 146534 | 跳过 | 已存在基因组
[2026-04-16 18:01:09] Avena insularis | 283872 | 跳过 | 已存在基因组
[2026-04-16 18:01:09] Avena longiglumis | 4500 | 跳过 | 已存在基因组
[2026-04-16 18:01:09] Artocarpus nanchuanensis | 1745975 | 失败 | NCBI未找到
[2026-04-16 18:01:09] Asclepias syriaca | 48545 | 跳过 | 已存在基因组
[2026-04-16 18:01:09] Asclepias syriaca | - | 跳过 | 无TaxID
[2026-04-16 18:01:12] Asparagus kiusianus | 272855 | 失败 | NCBI未找到
[2026-04-16 18:01:12] Asparagus officinalis | 4686 | 跳过 | 已存在基因组
[2026-04-16 18:01:12] Asparagus setaceus | 272863 | 跳过 | 已存在基因组
[2026-04-16 18:01:15] Asterochloris glomerata | 174040 | 失败 | NCBI未找到
[2026-04-16 18:01:15] Astragalus membranaceus | 649199 | 跳过 | 已存在基因组
[2026-04-16 18:01:15] Astragalus membranaceus | 649199 | 跳过 | 已存在基因组
[2026-04-16 18:01:15] Astragalus membranaceus | 649199 | 跳过 | 已存在基因组
[2026-04-16 18:01:18] Astragalus sinicus | 47065 | 失败 | NCBI未找到
[2026-04-16 18:01:20] Astrephomene gubernaculifera | 47775 | 失败 | NCBI未找到
[2026-04-16 18:01:20] Atalantia buxifolia | 76974 | 跳过 | 已存在基因组
[2026-04-16 18:01:20] Atalantia buxifolia | 76974 | 跳过 | 已存在基因组
[2026-04-16 18:01:23] Atractylodes lancea | 41486 | 失败 | NCBI未找到
[2026-04-16 18:19:49] Bathycoccus prasinos | 41875 | 失败 | NCBI未找到
[2026-04-16 18:19:49] Bauhinia variegata | 167791 | 跳过 | 已存在基因组
[2026-04-16 18:19:49] Beckmannia syzigachne | 368345 | 跳过 | 已存在基因组
[2026-04-16 18:19:52] Begonia darthvaderiana | 2905994 | 失败 | NCBI未找到
[2026-04-16 18:19:55] Begonia fuchsioides | 200001 | 失败 | NCBI未找到
[2026-04-16 18:23:10] Begonia loranthoides | 200023 | 失败 | ZIP文件无效
[2026-04-16 18:23:10] Begonia masoniana | 198562 | 跳过 | 已存在基因组
[2026-04-16 18:23:10] Begonia peltatifolia | 1406276 | 跳过 | 已存在基因组
[2026-04-16 18:23:10] Benincasa hispida | 102211 | 跳过 | 已存在基因组
[2026-04-16 18:23:13] Benincasa hispida var. Chieh-qua | 1208597 | 失败 | NCBI未找到
[2026-04-16 18:23:13] Berberis thunbergii | 121720 | 跳过 | 已存在基因组
[2026-04-16 18:23:13] Berberis vulgaris | 258209 | 跳过 | 已存在基因组
[2026-04-16 18:23:16] Bergenia scopulosa | 1397840 | 失败 | NCBI未找到
[2026-04-16 18:23:19] Beta patula | 1505710 | 失败 | NCBI未找到
[2026-04-16 18:23:19] Beta vulgaris | 161934 | 跳过 | 已存在基因组
[2026-04-16 18:23:21] Betula nana | 216990 | 失败 | NCBI未找到
[2026-04-16 18:23:21] Betula pendula | 3505 | 跳过 | 已存在基因组
[2026-04-16 18:23:24] Betula platyphylla | 78630 | 失败 | NCBI未找到
[2026-04-16 18:23:24] Biancaea sappan | 483143 | 跳过 | 已存在基因组
[2026-04-16 18:23:27] Bidens alba | 51260 | 失败 | NCBI未找到
[2026-04-16 18:23:30] Bidens hawaiensis | 980011 | 失败 | NCBI未找到
[2026-04-16 18:23:32] Biscutella auriculata | 379493 | 失败 | NCBI未找到
[2026-04-16 18:23:36] Biscutella laevigata | 264427 | 失败 | NCBI未找到
[2026-04-16 18:23:40] Bletilla striata | 78707 | 失败 | NCBI未找到
[2026-04-16 18:23:40] Boea hygrometrica | - | 跳过 | 无TaxID
[2026-04-16 18:23:42] Boechera puberula | 115924 | 失败 | NCBI未找到
[2026-04-16 18:23:45] Boechera retrofracta | 115934 | 失败 | NCBI未找到
[2026-04-16 18:23:45] Boehmeria nivea | 83906 | 跳过 | 已存在基因组
[2026-04-16 18:23:48] Boesenbergia rotunda | 97729 | 失败 | NCBI未找到
[2026-04-16 18:23:48] Bolboschoenus planiculmis | 651555 | 跳过 | 已存在基因组
[2026-04-16 18:23:48] Bombax ceiba | 45325 | 跳过 | 已存在基因组
[2026-04-16 18:23:48] Bonia amplexicaulis | 338503 | 跳过 | 已存在基因组
[2026-04-16 18:23:50] Boswellia sacra | 173701 | 失败 | NCBI未找到
[2026-04-16 18:23:50] Bothriochloa decipiens | 883134 | 跳过 | 已存在基因组
[2026-04-16 18:23:53] Botryococcus braunii | 38881 | 失败 | NCBI未找到
[2026-04-16 18:23:53] Bougainvillea x buttiana | - | 跳过 | 无TaxID
[2026-04-16 18:23:53] Brachypodium distachyon | 15368 | 跳过 | 已存在基因组
[2026-04-16 18:23:53] Brachypodium hybridum | 1071398 | 跳过 | 已存在基因组
[2026-04-16 18:23:53] Brachypodium stacei | 1071399 | 跳过 | 已存在基因组
[2026-04-16 18:23:56] Brachypodium sylvaticum | 29664 | 失败 | NCBI未找到
[2026-04-16 18:23:56] Brasenia schreberi | 4424 | 跳过 | 已存在基因组
[2026-04-16 18:23:56] Brassica carinata | 52824 | 跳过 | 已存在基因组
[2026-04-16 18:23:59] Brassica cretica | 69181 | 失败 | NCBI未找到
[2026-04-16 18:24:02] Brassica gravinae | 308265 | 失败 | NCBI未找到
[2026-04-16 19:35:20] Brassica juncea | 3707 | 失败 | ZIP文件无效
[2026-04-16 19:41:15] Brassica napus | 3708 | 失败 | ZIP文件无效
