[2026-04-16 17:58:02] Acorus tatarinowii | 123564 | 跳过 | 已存在基因组
[2026-04-16 17:58:03] Atractylodes lancea | 41486 | 失败 | NCBI未找到
[2026-04-16 17:58:04] Actinidia zhejiangensis | 165720 | 失败 | NCBI未找到
[2026-04-16 17:58:05] Actinidia arguta | 64478 | 失败 | NCBI未找到
[2026-04-16 17:58:05] Actinidia chinensis | 3625 | 跳过 | 已存在基因组
[2026-04-16 17:58:05] Actinidia eriantha | 165200 | 跳过 | 已存在基因组
[2026-04-16 17:58:07] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 17:58:08] Actinidia hemsleyana | 165707 | 失败 | NCBI未找到
[2026-04-16 17:58:08] Atriplex hortensis | 34272 | 失败 | NCBI未找到
[2026-04-16 17:58:08] Atropa belladonna | 33113 | 跳过 | 已存在基因组
[2026-04-16 17:58:09] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 17:58:11] Aubrieta canescens | 1076948 | 失败 | NCBI未找到
[2026-04-16 17:58:13] Actinidia latifolia | 165711 | 失败 | NCBI未找到
[2026-04-16 17:58:14] Aubrieta macrostyla | 3020387 | 失败 | NCBI未找到
[2026-04-16 17:58:16] Actinidia polygama | 64480 | 失败 | NCBI未找到
[2026-04-16 17:58:16] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 17:58:17] Aurinia saxatilis | 169069 | 失败 | NCBI未找到
[2026-04-16 17:58:17] Australimusa bananas | - | 跳过 | 无TaxID
[2026-04-16 17:58:17] Avena atlantica | 366594 | 跳过 | 已存在基因组
[2026-04-16 17:58:17] Avena eriantha | 146534 | 跳过 | 已存在基因组
[2026-04-16 17:58:17] Avena insularis | 283872 | 跳过 | 已存在基因组
[2026-04-16 17:58:17] Avena longiglumis | 4500 | 跳过 | 已存在基因组
[2026-04-16 17:58:18] Actinidia rufa | 165716 | 失败 | NCBI未找到
[2026-04-16 17:58:19] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 17:58:22] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 17:58:23] Actinidia zhejiangensis | 165720 | 失败 | NCBI未找到
[2026-04-16 17:58:24] Adenophora triphylla | 187269 | 失败 | NCBI未找到
[2026-04-16 17:58:24] Adenosma buchneroides | - | 跳过 | 无TaxID
[2026-04-16 17:58:24] Adiantum capillus-veneris | 13818 | 跳过 | 已存在基因组
[2026-04-16 17:58:26] Adansonia digitata | 69109 | 失败 | NCBI未找到
[2026-04-16 17:58:27] Adiantum nelumboides | 2759587 | 失败 | NCBI未找到
[2026-04-16 17:58:27] Aechmea fasciata | 326768 | 跳过 | 已存在基因组
[2026-04-16 17:58:29] Adenophora triphylla | 187269 | 失败 | NCBI未找到
[2026-04-16 17:58:29] Adenosma buchneroides | - | 跳过 | 无TaxID
[2026-04-16 17:58:29] Adiantum capillus-veneris | 13818 | 跳过 | 已存在基因组
[2026-04-16 17:58:30] Aegiceras corniculatum | 59970 | 失败 | NCBI未找到
[2026-04-16 17:58:31] Adiantum nelumboides | 2759587 | 失败 | NCBI未找到
[2026-04-16 17:58:31] Aechmea fasciata | 326768 | 跳过 | 已存在基因组
[2026-04-16 17:58:33] Aegiceras corniculatum | 59970 | 失败 | NCBI未找到
[2026-04-16 17:58:34] Aegiceras corniculatum | 59970 | 失败 | NCBI未找到
[2026-04-16 17:58:34] Aegilops bicornis | 4483 | 跳过 | 已存在基因组
[2026-04-16 17:58:34] Aegilops comosa | 4485 | 跳过 | 已存在基因组
[2026-04-16 17:58:34] Aegilops longissima | 4486 | 跳过 | 已存在基因组
[2026-04-16 17:58:34] Aegilops muticum | - | 跳过 | 无TaxID
[2026-04-16 17:58:36] Aegiceras corniculatum | 59970 | 失败 | NCBI未找到
[2026-04-16 17:58:36] Aegilops bicornis | 4483 | 跳过 | 已存在基因组
[2026-04-16 17:58:36] Aegilops comosa | 4485 | 跳过 | 已存在基因组
[2026-04-16 17:58:36] Aegilops longissima | 4486 | 跳过 | 已存在基因组
[2026-04-16 17:58:36] Aegilops muticum | - | 跳过 | 无TaxID
[2026-04-16 17:58:37] Aegilops searsii | 4487 | 失败 | NCBI未找到
[2026-04-16 17:58:37] Aegilops sharonensis | 58530 | 跳过 | 已存在基因组
[2026-04-16 17:58:37] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 17:58:37] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 17:58:37] Aegilops umbellulata | 4491 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops searsii | 4487 | 失败 | NCBI未找到
[2026-04-16 17:58:38] Aegilops sharonensis | 58530 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops sharonensis | 58530 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops speltoides | 4573 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops tauschii | 37682 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops umbellulata | 4491 | 跳过 | 已存在基因组
[2026-04-16 17:58:38] Aegilops umbellulata | 4491 | 跳过 | 已存在基因组
[2026-04-16 17:58:39] Aegle marmelos | 68527 | 失败 | NCBI未找到
[2026-04-16 17:58:39] Aeonium arboreum | 35945 | 跳过 | 已存在基因组
[2026-04-16 17:58:39] Aeschynomene evenia | 561484 | 跳过 | 已存在基因组
[2026-04-16 17:58:39] Aesculus wilsonii | - | 跳过 | 无TaxID
[2026-04-16 17:58:41] Aegle marmelos | 68527 | 失败 | NCBI未找到
[2026-04-16 17:58:41] Aeonium arboreum | 35945 | 跳过 | 已存在基因组
[2026-04-16 17:58:41] Aeschynomene evenia | 561484 | 跳过 | 已存在基因组
[2026-04-16 17:58:41] Aeschynomene evenia | 561484 | 跳过 | 已存在基因组
[2026-04-16 17:58:41] Aesculus wilsonii | - | 跳过 | 无TaxID
[2026-04-16 17:58:42] Aethionema arabicum | 228871 | 失败 | NCBI未找到
[2026-04-16 17:58:42] Agapanthus africanus | 51501 | 跳过 | 已存在基因组
[2026-04-16 17:58:42] Agastache rugosa | 39271 | 跳过 | 已存在基因组
[2026-04-16 17:58:42] Agave hybrid NO.11648 | - | 跳过 | 无TaxID
[2026-04-16 17:58:44] Aethionema arabicum | 228871 | 失败 | NCBI未找到
[2026-04-16 17:58:45] Ajuga decumbens | 167911 | 失败 | NCBI未找到
[2026-04-16 17:58:45] Akebia trifoliata | 155132 | 跳过 | 已存在基因组
[2026-04-16 17:58:45] Albizia julibrissin | 3813 | 跳过 | 已存在基因组
[2026-04-16 17:58:47] Aethionema arabicum | 228871 | 失败 | NCBI未找到
[2026-04-16 17:58:47] Agapanthus africanus | 51501 | 跳过 | 已存在基因组
[2026-04-16 17:58:47] Agastache rugosa | 39271 | 跳过 | 已存在基因组
[2026-04-16 17:58:48] Aldrovanda vesiculosa | 173386 | 失败 | NCBI未找到
[2026-04-16 17:58:48] Algal Strain CCCryo 101-99 | - | 跳过 | 无TaxID
[2026-04-16 17:58:49] Ajuga decumbens | 167911 | 失败 | NCBI未找到
[2026-04-16 17:58:49] Akebia trifoliata | 155132 | 跳过 | 已存在基因组
[2026-04-16 17:58:49] Akebia trifoliata | 155132 | 跳过 | 已存在基因组
[2026-04-16 17:58:49] Albizia julibrissin | 3813 | 跳过 | 已存在基因组
[2026-04-16 17:58:50] Alliaria petiolata | 126270 | 失败 | NCBI未找到
[2026-04-16 17:58:50] Allium cepa | 4679 | 跳过 | 已存在基因组
[2026-04-16 17:58:50] Allium fistulosum | 35875 | 跳过 | 已存在基因组
[2026-04-16 17:58:51] Allium sativum | 4682 | 跳过 | 已存在基因组
[2026-04-16 17:58:51] Alloteropsis semialata | 435756 | 跳过 | 已存在基因组
[2026-04-16 17:58:51] Alnus glutinosa | 3517 | 跳过 | 已存在基因组
[2026-04-16 17:58:52] Aldrovanda vesiculosa | 173386 | 失败 | NCBI未找到
[2026-04-16 17:58:53] Alnus rubra | 109069 | 失败 | NCBI未找到
[2026-04-16 17:58:55] Alliaria petiolata | 126270 | 失败 | NCBI未找到
[2026-04-16 17:58:55] Allium cepa | 4679 | 跳过 | 已存在基因组
[2026-04-16 17:58:55] Allium cepa | 4679 | 跳过 | 已存在基因组
[2026-04-16 17:58:55] Allium fistulosum | 35875 | 跳过 | 已存在基因组
[2026-04-16 17:58:55] Allium fistulosum | 35875 | 跳过 | 已存在基因组
[2026-04-16 17:58:55] Allium sativum | 4682 | 跳过 | 已存在基因组
[2026-04-16 17:58:55] Allium sativum | 4682 | 跳过 | 已存在基因组
[2026-04-16 17:58:55] Alloteropsis semialata | 435756 | 跳过 | 已存在基因组
[2026-04-16 17:58:55] Alnus glutinosa | 3517 | 跳过 | 已存在基因组
[2026-04-16 17:58:56] Aloe vera | 34199 | 失败 | NCBI未找到
[2026-04-16 17:58:56] Alopecurus aequalis | 114194 | 跳过 | 已存在基因组
[2026-04-16 17:58:56] Alopecurus myosuroides | 81473 | 跳过 | 已存在基因组
[2026-04-16 17:58:58] Alnus rubra | 109069 | 失败 | NCBI未找到
[2026-04-16 17:58:59] Alpinia nigra | 105678 | 失败 | NCBI未找到
[2026-04-16 17:58:59] Alpinia oxyphylla | 125261 | 跳过 | 已存在基因组
[2026-04-16 17:59:00] Avena sativa | 4498 | 失败 | ZIP文件无效
[2026-04-16 17:59:00] Aloe vera | 34199 | 失败 | NCBI未找到
[2026-04-16 17:59:00] Alopecurus aequalis | 114194 | 跳过 | 已存在基因组
[2026-04-16 17:59:00] Alopecurus myosuroides | 81473 | 跳过 | 已存在基因组
[2026-04-16 17:59:02] Alsophila spinulosa | 204586 | 失败 | NCBI未找到
[2026-04-16 17:59:04] Alpinia nigra | 105678 | 失败 | NCBI未找到
[2026-04-16 17:59:04] Alpinia oxyphylla | 125261 | 跳过 | 已存在基因组
[2026-04-16 17:59:04] Alstonia scholaris | 52822 | 失败 | NCBI未找到
[2026-04-16 17:59:04] Amaranthus cruentus | 117272 | 跳过 | 已存在基因组
[2026-04-16 17:59:04] Amaranthus hybridus | 3565 | 跳过 | 已存在基因组
[2026-04-16 17:59:04] Amaranthus hypochondriacus | 28502 | 跳过 | 已存在基因组
[2026-04-16 17:59:05] Amaranthus palmeri | 107608 | 跳过 | 已存在基因组
[2026-04-16 17:59:05] Amaranthus tricolor | 29722 | 跳过 | 已存在基因组
[2026-04-16 17:59:05] Amaranthus tuberculatus | 277990 | 跳过 | 已存在基因组
[2026-04-16 17:59:05] Amborella trichopoda | 13333 | 跳过 | 已存在基因组
[2026-04-16 17:59:05] Ambrosia artemisiifolia | 4212 | 跳过 | 已存在基因组
[2026-04-16 17:59:05] Ambrosia trifida | 4214 | 跳过 | 已存在基因组
[2026-04-16 17:59:05] Ammopiptanthus mongolicus | 126911 | 跳过 | 已存在基因组
[2026-04-16 17:59:06] Alsophila spinulosa | 204586 | 失败 | NCBI未找到
[2026-04-16 17:59:09] Alstonia scholaris | 52822 | 失败 | NCBI未找到
[2026-04-16 17:59:09] Amaranthus cruentus | 117272 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amaranthus hybridus | 3565 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amaranthus hypochondriacus | 28502 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amaranthus hypochondriacus | 28502 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amaranthus hypochondriacus | 28502 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amaranthus palmeri | 107608 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amaranthus tricolor | 29722 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amaranthus tuberculatus | 277990 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amborella trichopoda | 13333 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amborella trichopoda | 13333 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Amborella trichopoda | 13333 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Ambrosia artemisiifolia | 4212 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Ambrosia trifida | 4214 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Ambrosia trifida | 4214 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Ambrosia trifida | 4214 | 跳过 | 已存在基因组
[2026-04-16 17:59:09] Ammopiptanthus mongolicus | 126911 | 跳过 | 已存在基因组
[2026-04-16 17:59:10] Ammopiptanthus nanus | 111851 | 失败 | NCBI未找到
[2026-04-16 17:59:10] Amomum tsao-ko | - | 跳过 | 无TaxID
[2026-04-16 17:59:10] Amorphophallus konjac | 78372 | 跳过 | 已存在基因组
[2026-04-16 17:59:10] Ampelocalamus luodianensis | 387595 | 跳过 | 已存在基因组
[2026-04-16 17:59:10] Amphicarpaea edgeworthii | 132429 | 跳过 | 已存在基因组
[2026-04-16 17:59:12] Ammopiptanthus nanus | 111851 | 失败 | NCBI未找到
[2026-04-16 17:59:12] Amomum tsao-ko | - | 跳过 | 无TaxID
[2026-04-16 17:59:12] Amomum tsao-ko | - | 跳过 | 无TaxID
[2026-04-16 17:59:12] Amorphophallus konjac | 78372 | 跳过 | 已存在基因组
[2026-04-16 17:59:12] Ampelocalamus luodianensis | 387595 | 跳过 | 已存在基因组
[2026-04-16 17:59:13] Amphicarpaea edgeworthii | 132429 | 跳过 | 已存在基因组
[2026-04-16 17:59:13] Anacardium occidentale | 171929 | 失败 | NCBI未找到
[2026-04-16 17:59:13] Ananas bracteatus | - | 跳过 | 无TaxID
[2026-04-16 17:59:13] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Anacardium occidentale | 171929 | 失败 | NCBI未找到
[2026-04-16 17:59:15] Ananas bracteatus | - | 跳过 | 无TaxID
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Ananas comosus | 4615 | 跳过 | 已存在基因组
[2026-04-16 17:59:15] Anastatica hierochuntica | 663965 | 失败 | NCBI未找到
[2026-04-16 17:59:15] Ancylonema nordenskiöldii | - | 跳过 | 无TaxID
[2026-04-16 17:59:15] Andrographis paniculata | 175694 | 跳过 | 已存在基因组
[2026-04-16 17:59:18] Angelica sinensis | 165353 | 失败 | NCBI未找到
[2026-04-16 17:59:18] Angophora  floribunda | - | 跳过 | 无TaxID
[2026-04-16 17:59:18] Angophora floribunda | 34308 | 跳过 | 已存在基因组
[2026-04-16 17:59:19] Anastatica hierochuntica | 663965 | 失败 | NCBI未找到
[2026-04-16 17:59:19] Andrographis paniculata | 175694 | 跳过 | 已存在基因组
[2026-04-16 17:59:19] Andrographis paniculata | 175694 | 跳过 | 已存在基因组
[2026-04-16 17:59:23] Angraecum sesquipedale | 78697 | 失败 | NCBI未找到
[2026-04-16 17:59:23] Anisodus acutangulus | 402998 | 跳过 | 已存在基因组
[2026-04-16 17:59:23] Anisodus tanguticus | 243964 | 跳过 | 已存在基因组
[2026-04-16 17:59:23] Annona cherimola | 49314 | 跳过 | 已存在基因组
[2026-04-16 17:59:24] Angelica sinensis | 165353 | 失败 | NCBI未找到
[2026-04-16 17:59:24] Angophora  floribunda | - | 跳过 | 无TaxID
[2026-04-16 17:59:24] Angophora floribunda | 34308 | 跳过 | 已存在基因组
[2026-04-16 17:59:27] Angraecum sesquipedale | 78697 | 失败 | NCBI未找到
[2026-04-16 17:59:27] Anisodus acutangulus | 402998 | 跳过 | 已存在基因组
[2026-04-16 17:59:27] Anisodus acutangulus | 402998 | 跳过 | 已存在基因组
[2026-04-16 17:59:27] Anisodus acutangulus | 402998 | 跳过 | 已存在基因组
[2026-04-16 17:59:27] Anisodus tanguticus | 243964 | 跳过 | 已存在基因组
[2026-04-16 17:59:27] Annona cherimola | 49314 | 跳过 | 已存在基因组
[2026-04-16 17:59:27] Annona cherimola | 49314 | 跳过 | 已存在基因组
