缺失TaxID且未下载	433	Citrus changshanensis	-	-	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	434	Citrus clementina	-	-	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	437	Citrus grandis	-	diploid	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	439	Citrus hongheensis	-	-	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	440	Citrus ichangensis	-	diploid	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	442	Citrus limon	-	diploid	cv. 'Femminello Siracusano' (haplotype 2)	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	443	Citrus linwuensis	-	-	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	444	Citrus mangensis	-	-	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	447	Citrus paradisi x Poncirus trifoliata	-	-	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	449	Citrus reticulata 'Chachi'	-	-	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	450	Citrus reticulata cv.Chachiensis	-	-	-	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	454	Citrus x sinensis	-	diploid	Ridge Pineapple	Sapindales	Rutaceae	Citrus
缺失TaxID且未下载	457	Clarkia xantiana ssp. parviflora	-	-	-	Myrtales	Brassicaceae	Clarkia
缺失TaxID且未下载	460	Clerodendrum inerme	-	diploid	improved	Lamiales	Lamiaceae	Clerodendrum
缺失TaxID且未下载	465	Closterium peracerosum–strigosum–littorale complex	-	-	NIES-65	Zygnematales	-	Closterium
缺失TaxID且未下载	468	Coccomyxa pringsheimii (CocpriSAG2167)	-	-	-	Chlorellales	-	-
缺失TaxID且未下载	478	Coffea arabica var. Geisha	-	tetraploid	-	Gentianales	Rubiaceae	Coffea
缺失TaxID且未下载	491	Conyza canadensis	-	diploid	TN-R	Asterales	Asteraceae	Conyza
缺失TaxID且未下载	528	Cucumis sativus x Cucumis hytivus	-	tetraploid	S14	Cucurbitales	Cucurbitaceae	Cucumis
缺失TaxID且未下载	553	Daemonorops jenkinsiana	-	-	-	Arecales	Arecaceae	Daemonorops
缺失TaxID且未下载	589	Dioscorea rotundata	-	diploid	-	Dioscoreales	Dioscoreaceae	Dioscorea
缺失TaxID且未下载	610	Docynia delavayi	-	diploid	-	Rosales	Rosaceae	Docynia
缺失TaxID且未下载	638	Elliptochloris bilobata (EllbilSAG24580)	-	-	-	Chlorellales	-	-
缺失TaxID且未下载	651	Erianthus fulvus	-	-	ZM13	Poales	Poaceae	Erianthus
缺失TaxID且未下载	652	Erianthus rufpilus	-	-	Yunnan2009-3	Poales	Poaceae	Erianthus
缺失TaxID且未下载	656	Eruca sativa	-	diploid	-	Brassicales	Brassicaceae	Eruca
缺失TaxID且未下载	666	Eucalyptus albensa	-	-	-	Myrtales	Myrtaceae	Eucalyptus
缺失TaxID且未下载	667	Eucalyptus ANBG9806169	-	-	-	Myrtales	Myrtaceae	Eucalyptus
缺失TaxID且未下载	686	Eucalyptus melliodora × Eucalyptus sideroxylon	-	-	-	Myrtales	Myrtaceae	Eucalyptus
缺失TaxID且未下载	687	Eucalyptus melliodoraa	-	-	-	Myrtales	Myrtaceae	Eucalyptus
缺失TaxID且未下载	697	Eucalyptus sideroxylona	-	-	-	Myrtales	Myrtaceae	Eucalyptus
缺失TaxID且未下载	703	Eucalyptusglobulus	-	-	-	Myrtales	Myrtaceae	Eucalyptus
缺失TaxID且未下载	710	Euphrasia confusa Pugsley	-	tetraploid	Confused Eyebright	Lamiales	Orobanchaceae	Euphrasia
缺失TaxID且未下载	715	Eustoma grandiflorum	-	hexaploid	-	Gentianales	Gentianaceae	Eustoma
缺失TaxID且未下载	728	Fallopia multiflora	-	diploid	wild	Caryophyllales	Polygonaceae	Fallopia
缺失TaxID且未下载	729	Fallopia multiflora var. angulata	-	diploid	-	Caryophyllales	Polygonaceae	Fallopia
缺失TaxID且未下载	730	Festuca trachyphyila	-	-	Hard fescue	Poales	Poaceae	Festuca
缺失TaxID且未下载	738	Ficus sp.	-	-	-	Rosales	Moraceae	Ficus
缺失TaxID且未下载	742	Foeniculum vulgare	-	diploid	-	Apiales	Apiaceae	Foeniculum
缺失TaxID且未下载	743	Fokienia hodginsii	-	-	-	Cupressales	Cupressaceae	Fokienia
缺失TaxID且未下载	761	Fragaria × ananassa	-	octoploid	Benihoppe(haplotype 1)	Rosales	Rosaceae	Fragaria
缺失TaxID且未下载	777	Fraxinus mandschurica	-	diploid	-	Lamiales	Oleaceae	Fraxinus
缺失TaxID且未下载	830	Gossypium hirsutum Emian22	-	-	cotton	Malvales	Malvaceae	Gossypium
缺失TaxID且未下载	833	Gossypium purpurascens	-	tetraploid	-	Malvales	Malvaceae	Gossypium
缺失TaxID且未下载	842	Green alga Scenedesmus obliquus	-	diploid	green alga	Chlorococcales	Scenedesmaceae	Green
缺失TaxID且未下载	850	Haematococcus pluvialis	-	-	-	Chlamydomonadales	Haematococcaceae	Haematococcus
缺失TaxID且未下载	873	Hibiscus hamabo	-	-	-	Malvales	Malvaceae	Hibiscus
缺失TaxID且未下载	880	Hippophae rhamnoides spp. mongolica×Hippophae rhamnoides sinensis	-	diploid	Fructus hippophae	Rosales	Elaeagnaceae	Hippophae
缺失TaxID且未下载	883	Homosporous lycophytes	-	-	-	Lycopodiales	Lycopodiaceae	Homosporous
缺失TaxID且未下载	890	Hordeum spontaneum	-	diploid	EC-S1	Poales	Poaceae	Hordeum
缺失TaxID且未下载	896	Hylocereus undatus	-	-	David Bowie	Caryophyllales	Cactaceae	Hylocereus
缺失TaxID且未下载	899	Hypnum curvifolium	-	-	-	Hypnales	Hypnaceae	Hypnum
缺失TaxID且未下载	912	Ipomoea batata	-	hexaploid	Sweetpotato	Solanales	Convolvulaceae	Ipomoea
缺失TaxID且未下载	922	Isodon lophanthodies	-	diploid	-	Lamiales	Lamiaceae	Isodon
缺失TaxID且未下载	951	Kmeria septentrionalis	-	-	-	Magnoliales	Magnoliaceae	Kmeria
缺失TaxID且未下载	954	Kobresia littledalei	-	-	-	Poales	Cyperaceae	Kobresia
缺失TaxID且未下载	955	Kobresia myosuroides	-	-	-	Poales	Cyperaceae	Kobresia
缺失TaxID且未下载	956	Kochia scoparia	-	diploid	-	Caryophyllales	Amaranthaceae	Kochia
缺失TaxID且未下载	971	Larix sibirica Ledeb	-	diploid	-	Pinales	Pinaceae	Larix sibirica
缺失TaxID且未下载	982	Leonurus japonicus	-	-	-	Lamiales	Lamiaceae	Leonurus
缺失TaxID且未下载	983	Leonurus sibiricus	-	-	-	Lamiales	Lamiaceae	Leonurus
缺失TaxID且未下载	985	Lepidium apetalu	-	diploid	-	Brassicales	Brassicaceae	Lepidium
缺失TaxID且未下载	990	Leptochloa chinensis	-	tetraploid	LC16004	Poales	Poaceae	Leptochloa
缺失TaxID且未下载	991	Leptochloa panicea	-	diploid	-	Poales	Poaceae	Leptochloa
缺失TaxID且未下载	1000	Lindenbergia luchunensis	-	-	-	Lamiales	Orobanchaceae	Lindenbergia
缺失TaxID且未下载	1003	Lindernia brevidens	-	diploid	-	Lamiales	Linderniaceae	Lindernia
缺失TaxID且未下载	1028	Luffa acutangula SG261	-	diploid	-	Cucurbitales	Cucurbitaceae	Luffa
缺失TaxID且未下载	1029	Luffa cylindrica	-	diploid	Loofah	Cucurbitales	Cucurbitaceae	Luffa
缺失TaxID且未下载	1040	Lyciumbarbarum	-	-	wolfberry	Solanales	Solanaceae	Lyciumbarbarum
缺失TaxID且未下载	1044	Macadamia jansenii.	-	-	-	Proteales	Proteaceae	Macadamia
缺失TaxID且未下载	1055	Magnoliaceae sinica	-	diploid	Magnolia sinica	Magnoliales	Magnoliaceae	Magnoliaceae
缺失TaxID且未下载	1063	Malus hybrid 'Flame'	-	diploid	-	Rosales	Rosaceae	Malus
缺失TaxID且未下载	1064	Malus hybrid 'Royalty'	-	diploid	-	Rosales	Rosaceae	Malus
缺失TaxID且未下载	1065	Malus hybrid 'SH6'	-	diploid	-	Rosales	Rosaceae	Malus
缺失TaxID且未下载	1071	Malus x domestica	-	diploid	Golden Delicious	Rosales	Rosaceae	Malus
缺失TaxID且未下载	1078	Marsdenia tenacissima	-	-	-	Gentianales	Apocynaceae	Marsdenia
缺失TaxID且未下载	1084	Medicago sativa ssp. falcata	-	tetraploid	-	Fabales	Fabaceae	Medicago
缺失TaxID且未下载	1100	Mentha suaveolens 'Variegata'	-	diploid	mint	Lamiales	Lamiaceae	Mentha
缺失TaxID且未下载	1101	Mentha × piperita	-	hexaploid	Peppermint	Lamiales	Lamiaceae	Mentha
缺失TaxID且未下载	1110	Michelia alba DC (MC)	-	diploid	-	Magnoliales	Magnoliaceae	Michelia
缺失TaxID且未下载	1111	Michelia alba DC (MM)	-	diploid	-	Magnoliales	Magnoliaceae	Michelia
